ZCTA5CE20,lon,lat,bw,bs,be,bn
15301,-80.255792,40.158987,-80.3686,40.0442,-80.1309,40.2822
15658,-79.224915,40.268457,-79.3432,40.156,-79.0551,40.3575
15601,-79.533085,40.288953,-79.6691,40.2141,-79.4351,40.4503
17720,-77.205022,41.17953,-77.2303,41.167,-77.1774,41.193
18843,-75.894501,41.805584,-75.908,41.7872,-75.8821,41.8217
30114,-84.543496,34.231113,-84.6579,34.1283,-84.417,34.381
30281,-84.196366,33.567371,-84.2992,33.4641,-84.0823,33.6458
31044,-83.358215,32.668509,-83.4815,32.4722,-83.2407,32.8034
31419,-81.244996,31.970293,-81.3847,31.8871,-81.0958,32.0881
30137,-84.760811,34.115117,-84.7903,34.0978,-84.7488,34.1385
30184,-84.700674,34.272229,-84.8301,34.1394,-84.6166,34.3729
31519,-82.864418,31.663046,-82.9671,31.5551,-82.7625,31.8162
30427,-81.966215,31.922709,-82.1318,31.7102,-81.8049,32.0827
30824,-82.514671,33.515867,-82.6497,33.3377,-82.3769,33.66
89421,-117.915296,42.055126,-118.215,41.6772,-117.5443,42.3926
48225,-82.930117,42.439446,-82.9523,42.421,-82.9114,42.4508
08072,-75.412018,39.546425,-75.4239,39.5405,-75.4012,39.5489
07821,-74.748526,40.965669,-74.8863,40.9145,-74.6146,41.0244
08820,-74.364017,40.577232,-74.4046,40.5483,-74.3321,40.6057
63556,-93.117226,40.182508,-93.334,40.044,-92.8678,40.3343
63456,-91.714071,39.642498,-91.8511,39.5024,-91.578,39.8326
98563,-123.594633,47.101027,-123.8284,46.8463,-123.4349,47.5177
64083,-94.451318,38.807081,-94.4997,38.7494,-94.3737,38.8414
65667,-92.487792,37.287587,-92.6923,37.1898,-92.3628,37.4417
65041,-91.476963,38.616622,-91.6411,38.4665,-91.3068,38.8253
59010,-107.309899,45.983697,-107.5176,45.7677,-107.1084,46.2555
59432,-112.586038,48.146616,-112.9011,48.0284,-112.26,48.2407
59316,-105.041977,45.389485,-105.1907,45.1563,-104.9436,45.5114
59812,-113.984424,46.861217,-113.9892,46.8571,-113.9759,46.865
37705,-84.018451,36.223359,-84.1287,36.163,-83.9073,36.3018
38464,-87.472501,35.311187,-87.6708,35.126,-87.1547,35.4395
37327,-85.407697,35.402217,-85.5684,35.2663,-85.2209,35.5854
37064,-87.007267,35.920761,-87.1778,35.7466,-86.7368,36.0226
38501,-85.551078,36.228581,-85.627,36.1345,-85.4608,36.3537
37385,-84.237613,35.351214,-84.4483,35.2043,-84.0076,35.4762
37185,-87.844484,36.111254,-87.9631,35.8039,-87.6848,36.2558
37847,-84.273729,36.433788,-84.4619,36.3055,-84.1347,36.5512
37032,-86.996581,36.554334,-87.1287,36.4289,-86.9178,36.6446
